station_id,station_name,capacity,lng,lat,MEAN_WEEKLY_TRIPS,NORMALISED_CAPACITY,DEMAND_SCORE,DEMAND_CATEGORY
5805.05,Barrow St & Hudson St,45,-74.00674436,40.73172428,541,0.35,352.19100000000003,Medium
7942.07,Broadway & W 138 St,27,-73.95353,40.82182,69,0.2,55.269000000000005,Lowest
8123.06,Broadway & W 157 St,31,-73.94510813442648,40.83402740143528,33,0.23333333333333334,25.333,Lowest
7340.06,Riverside Dr & W 78 St,79,-73.98362492,40.78414472,203,0.6333333333333333,74.63633333333334,Lowest
6986.07,Columbus Ave & W 59 St,44,-73.98464,40.76931,0,0.3416666666666667,0.0,Lowest
5382.06,Grand St & Elizabeth St,45,-73.99596,40.718822,735,0.35,478.485,Highest
7057.07,E 78 St & 2 Ave,25,-73.95577801,40.7727966,244,0.18333333333333332,199.51066666666665,Low
7735.05,5 Ave & W 131 St,20,-73.93973,40.81014,89,0.14166666666666666,76.48066666666668,Lowest
8583.02,Sherman Ave & Thayer St,21,-73.926994,40.863124,12,0.15,10.212,Lowest
5181.04,Cherry St,36,-73.97948148,40.71219906,195,0.275,141.57,Low
5406.02,Rivington St & Ridge St,61,-73.98329859,40.71850211,401,0.48333333333333334,207.58433333333332,Low
6322.01,E 33 St & 5 Ave,60,-73.98490707,40.74765947,468,0.475,246.168,Medium
5167.06,St James Pl & Pearl St,27,-74.00016545,40.71117416,146,0.2,116.94600000000001,Low
6617.02,E 53 St & 3 Ave,41,-73.96930575370789,40.75763227739443,314,0.31666666666666665,214.88066666666668,Low
7910.1,Lenox Ave & W 146 St,24,-73.935971,40.821111,20,0.175,16.52,Lowest
5914.08,Greenwich Ave & Charles St,57,-74.000271,40.735238,476,0.45,262.276,Medium
5997.1,W 12 St & Hudson St,45,-74.00558933615685,40.73752993301071,502,0.35,326.802,Medium
7502.01,W 92 St & Broadway,24,-73.9739,40.7921,216,0.175,178.416,Low
7809.13,E 138 St & 5 Ave,22,-73.936153,40.81449,43,0.15833333333333333,36.23466666666667,Lowest
5033.01,Broadway & Morris St,69,-74.01321887969969,40.705945132708806,251,0.55,113.201,Low
7662.13,Lexington Ave & E 127 St,33,-73.936322,40.805726,49,0.25,36.799,Lowest
6535.04,W 34 St & Hudson Blvd E,57,-74.00059908628464,40.75516719072139,626,0.45,344.92600000000004,Medium
5584.05,E 7 St & Ave B,69,-73.98131668567657,40.7251285241158,595,0.55,268.34499999999997,Medium
7388.1,Riverside Dr & W 82 St,75,-73.98128127,40.78720869,277,0.6,111.07700000000001,Low
7580.01,W 100 St & Broadway,39,-73.97041192,40.7973721,305,0.3,213.80499999999998,Low
8033.09,W 148 St & Amsterdam Ave,23,-73.945909,40.827075,37,0.16666666666666666,30.870333333333335,Lowest
7230.1,W 74 St & Columbus Ave,27,-73.97754961,40.7785669,217,0.2,173.817,Low
7141.07,Central Park West & W 72 St,51,-73.9762057363987,40.77579376683666,642,0.4,385.842,Medium
6779.05,Broadway & W 53 St,85,-73.98268129,40.76344058,607,0.6833333333333333,192.82366666666667,Low
6667.04,W 47 St & 6 Ave,62,-73.98255,40.758397,286,0.49166666666666664,145.66933333333333,Low
8049.1,Convent Ave & W 151 St,24,-73.942924,40.82831,22,0.175,18.172,Lowest
6382.05,W 26 St & 10 Ave,51,-74.002950346,40.749717753,531,0.4,319.131,Medium
5755.15,Washington Pl & Greene St,46,-73.99546380915461,40.72980619180496,0,0.35833333333333334,0.0,Lowest
7180.02,E 84 St & 1 Ave,31,-73.95068615,40.77565541,278,0.23333333333333334,213.41133333333332,Low
5553.03,E 3 St & 1 Ave,59,-73.98783413,40.72467721,442,0.4666666666666667,236.17533333333333,Low
5788.15,4 Ave & E 12 St,39,-73.99011,40.732647,862,0.3,604.262,Highest
6464.08,E 45 St & 3 Ave,40,-73.97282625,40.75255434,248,0.30833333333333335,171.78133333333332,Low
8191.01,Broadway & W 165 St,24,-73.941409,40.839137,24,0.175,19.823999999999998,Lowest
5863.07,E 15 St & 3 Ave,78,-73.986923,40.734232,660,0.625,248.16,Medium
6611.02,W 37 St & 10 Ave,39,-73.9979009,40.75660359,519,0.3,363.81899999999996,Medium
6215.04,W 25 St & 6 Ave,51,-73.99144871,40.74395411,512,0.4,307.712,Medium
7443.17,E 98 St & Park Ave,25,-73.95206,40.78813,102,0.18333333333333332,83.402,Lowest
8528.05,Nagle Ave & Ellwood St,21,-73.928489,40.86012,23,0.15,19.573,Lowest
7738.04,Adam Clayton Powell Blvd & W 126 St,33,-73.94776493310928,40.80949534777948,0,0.25,0.0,Lowest
6432.11,E 40 St & Park Ave,123,-73.978326,40.750756,0,1.0,0.0,Lowest
4962.08,Broad St & Bridge St,49,-74.01167797,40.70365182,151,0.38333333333333336,93.26766666666667,Lowest
7365.13,E 95 St & 3 Ave,31,-73.950503,40.7849032,122,0.23333333333333334,93.65533333333333,Lowest
6830.04,3 Ave & E 62 St,51,-73.96527,40.76313,0,0.4,0.0,Lowest
6297.08,W 25 St & 8 Ave,66,-73.99732626293645,40.74649996333341,339,0.525,161.364,Low
8176.01,W 160 St & Riverside Dr,27,-73.9466,40.83719,0,0.2,0.0,Lowest
5797.01,MacDougal St & Washington Sq,33,-73.99852205,40.73226398,376,0.25,282.376,Medium
7925.04,W 133 St & 12 Ave,19,-73.959089,40.820003,64,0.13333333333333333,55.53066666666667,Lowest
8655.02,Dyckman St & Staff St,19,-73.931537,40.868846,46,0.13333333333333333,39.91266666666667,Lowest
8278.05,Amsterdam Ave & W 175 St,23,-73.933651,40.844044,13,0.16666666666666666,10.846333333333334,Lowest
8353.02,Amsterdam Ave & W 180 St,23,-73.931205,40.847396,7,0.16666666666666666,5.840333333333334,Lowest
7504.18,E 106 St & Lexington Ave,27,-73.945993,40.791976,110,0.2,88.11,Lowest
8496.01,Fort Washington Ave & W 190 St,19,-73.935662,40.856906,16,0.13333333333333333,13.882666666666667,Lowest
6230.02,1 Ave & E 38 St,39,-73.971822,40.746202,0,0.3,0.0,Lowest
5430.1,6 Ave & Walker St,39,-74.0052238852195,40.7197920901383,300,0.3,210.29999999999998,Low
5584.04,E 6 St & Ave B,95,-73.98185424,40.72453734,457,0.7666666666666667,107.0903333333333,Low
5216.06,Vesey St & Church St,78,-74.01047229766846,40.71221958009051,725,0.625,272.6,Medium
7458.09,W 90 St & Amsterdam Ave,34,-73.97289,40.79018,0,0.25833333333333336,0.0,Lowest
7735.23,E 128 St & Madison Ave,23,-73.939182,40.80756,43,0.16666666666666666,35.876333333333335,Lowest
7860.08,Convent Ave & W 135 St,30,-73.950988,40.818215,46,0.225,35.696,Lowest
6492.08,9 Ave & W 33 St,94,-73.996765,40.752568,0,0.7583333333333333,0.0,Lowest
6747.07,8 Ave & W 49 St,65,-73.98655101656914,40.76171227910671,891,0.5166666666666667,431.54099999999994,Highest
6708.04,Broadway & W 48 St,103,-73.98486793041229,40.76017739537783,538,0.8333333333333334,90.20466666666665,Lowest
6233.04,Pier 61 at Chelsea Piers,43,-74.00821,40.746872,0,0.3333333333333333,0.0,Lowest
7667.04,Madison Ave & E 120 St,30,-73.942954,40.80295,113,0.225,87.688,Lowest
5303.06,Clinton St & Grand St,69,-73.9870295,40.71559509,859,0.55,387.40899999999993,Medium
5575.08,Ave D & E 12 St,41,-73.97422494,40.72580614,86,0.31666666666666665,58.85266666666667,Lowest
5626.07,E 7 St & Ave A,45,-73.98379855,40.72621788,744,0.35,484.344,Highest
7286.02,E 93 St & 2 Ave,73,-73.9489196240902,40.782454175279874,186,0.5833333333333334,77.68599999999999,Lowest
8104.1,Amsterdam Ave & W 156 St,27,-73.942386,40.832081,26,0.2,20.826,Lowest
5569.07,W Broadway & Watts St,51,-74.00314,40.72323,213,0.4,128.013,Low
5880.02,W 4 St & 7 Ave S,60,-74.00293877,40.73401143,651,0.475,342.426,Medium
5400.05,Harrison St & Hudson St,39,-74.0090009,40.71870987,201,0.3,140.90099999999998,Low
5351.07,Walker St & Baxter St,47,-73.999573,40.717411,385,0.36666666666666664,244.21833333333333,Medium
8559.04,9 Ave & W 204 St,24,-73.91855701804161,40.86169883507865,3,0.175,2.4779999999999998,Lowest
8320.01,Fort Washington Ave & W 173 St,24,-73.940493,40.84522,35,0.175,28.91,Lowest
4920.13,South St & Broad St,31,-74.01089876890182,40.70188858913366,27,0.23333333333333334,20.726999999999997,Lowest
6896.16,E 68 St & 3 Ave,36,-73.96224617958069,40.76712840349542,254,0.275,184.404,Low
6055.08,E 20 St & Park Ave,45,-73.98751968,40.73827428,465,0.35,302.71500000000003,Medium
6131.1,E 24 St & Park Ave S,79,-73.98602213,40.74096374,0,0.6333333333333333,0.0,Lowest
7823.03,Broadway & Moylan Pl,41,-73.9590255,40.8143256,101,0.31666666666666665,69.11766666666666,Lowest
5359.12,Duane St & Hudson St,44,-74.00925,40.71703,213,0.3416666666666667,140.438,Low
8394.15,Amsterdam Ave & W 186 St,21,-73.928808,40.851113,12,0.15,10.212,Lowest
7175.05,Columbus Ave & W 72 St,67,-73.97898475,40.7770575,577,0.5333333333333333,269.84366666666665,Medium
8054.04,Riverside Dr & W 148 St,22,-73.950426,40.829114,36,0.15833333333333333,30.336,Lowest
7504.19,3 Ave & E 109 St,25,-73.94329,40.79338,71,0.18333333333333332,58.05433333333333,Lowest
6560.01,Broadway & W 41 St,55,-73.98658032,40.75513557,652,0.43333333333333335,370.1186666666667,Medium
7528.31,E 106 St & Madison Ave,25,-73.94945003,40.7934337,113,0.18333333333333332,92.39633333333333,Lowest
5453.01,Rivington St & Chrystie St,64,-73.9919254,40.72110063,376,0.5083333333333333,185.24266666666668,Low
5736.09,E 14 St & Ave B,43,-73.97772429,40.72938685,462,0.3333333333333333,308.46200000000005,Medium
5326.06,Stanton St & Mangin St,19,-73.97628939,40.71782143,148,0.13333333333333333,128.41466666666668,Low
6682.03,E 58 St & 1 Ave (NE Corner),29,-73.96226227283478,40.75892386377695,210,0.21666666666666667,164.71,Low
8172.07,Amsterdam Ave & W 162 St,27,-73.939789,40.83618,27,0.2,21.627000000000002,Lowest
5980.11,Broadway & E 19 St,99,-73.99006,40.73829,0,0.8,0.0,Lowest
7327.01,Wards Meadow Comfort Station,18,-73.93077,40.78294,84,0.125,73.584,Lowest
6854.05,W 50 St & 9 Ave,30,-73.98917958140373,40.76360467795863,0,0.225,0.0,Lowest
6626.01,E 48 St & 5 Ave,62,-73.97805914282799,40.75724567911726,388,0.49166666666666664,197.62133333333333,Low
6072.16,Gansevoort St & Hudson St,120,-74.00520807425661,40.73937600789778,388,0.975,10.088000000000008,Lowest
5755.14,University Pl & E 8 St,79,-73.99490341544151,40.73143724085228,655,0.6333333333333333,240.8216666666667,Medium
7079.06,Central Park West & W 68 St,43,-73.97782542,40.7734066,704,0.3333333333333333,470.0373333333334,Highest
6884.03,W 56 St & 8 Ave,50,-73.98313522338867,40.765959181657976,489,0.39166666666666666,297.96400000000006,Medium
8299.03,Wadsworth Ave & W 175 St,24,-73.937648,40.846052,25,0.175,20.65,Lowest
7596.11,1 Ave & E 118 St,24,-73.934499,40.797459,0,0.175,0.0,Lowest
7648.16,2 Ave & E 125 St,30,-73.933509,40.802554,64,0.225,49.664,Lowest
8353.09,Amsterdam Ave & W 183 St,21,-73.93022,40.84925,12,0.15,10.212,Lowest
7265.1,E 89 St & 3 Ave,39,-73.9521667,40.7806284,227,0.3,159.12699999999998,Low
8650.11,Seaman Ave & Beak St,21,-73.926363,40.867505,17,0.15,14.466999999999999,Lowest
7338.02,2 Ave & E 96 St,45,-73.9471673,40.7839636,284,0.35,184.88400000000001,Low
7910.01,Lenox Ave & W 144 St,22,-73.936521,40.819783,31,0.15833333333333333,26.122666666666667,Lowest
6190.03,W 18 St & 9 Ave,39,-74.00367558002472,40.7435337324616,129,0.3,90.42899999999999,Lowest
5065.12,William St & Pine St,57,-74.00887308,40.70717936,242,0.45,133.342,Low
7059.01,11 Ave & W 59 St,24,-73.99046033620834,40.77149671054441,448,0.175,370.048,Medium
8358.03,W 180 St & Ft Washington Ave,15,-73.938423,40.849972,37,0.1,33.337,Lowest
7599.09,E 115 St & Lexington Ave,25,-73.9423,40.797911,89,0.18333333333333332,72.77233333333334,Lowest
5569.06,W Broadway & Spring St,66,-74.00165855884552,40.72494672359416,316,0.525,150.416,Low
7204.08,E 89 St & York Ave,35,-73.946041,40.7779453,269,0.26666666666666666,197.53566666666669,Low
8543.01,10 Ave & W 202 St,23,-73.921417593956,40.861281970750994,8,0.16666666666666666,6.674666666666667,Lowest
7915.11,Edgecombe Ave & W 141 St,21,-73.945144,40.820681,75,0.15,63.824999999999996,Lowest
6022.04,E 16 St & 5 Ave,65,-73.99238967,40.73726186,694,0.5166666666666667,336.1273333333333,Medium
5128.04,Catherine St & Monroe St,35,-73.99682619,40.71117444,257,0.26666666666666666,188.72366666666667,Low
7623.13,Riverside Dr & W 104 St,58,-73.9711457439,40.8013434,229,0.4583333333333333,124.27066666666668,Low
5359.11,Leonard St & Church St,54,-74.005549,40.717571,273,0.425,157.248,Low
5190.07,Madison St & Clinton St,39,-73.98776323,40.71269042,180,0.3,126.17999999999999,Low
5414.06,Allen St & Rivington St,42,-73.98997825,40.72019576,509,0.325,344.084,Medium
7920.05,Amsterdam Ave & W 136 St,21,-73.951819,40.819746,33,0.15,28.083,Lowest
7028.04,3 Ave & E 72 St,35,-73.96060712,40.7699426,167,0.26666666666666666,122.63366666666667,Low
7652.04,Lexington Ave & E 120 St,29,-73.9398167,40.8013066,74,0.21666666666666667,58.04066666666667,Lowest
7625.18,E 118 St & Park Ave,27,-73.9419949,40.8005385,53,0.2,42.453,Lowest
5779.1,E 14 St & 1 Ave,34,-73.98286700248718,40.73139303364151,609,0.25833333333333336,452.284,Highest
6306.01,W 20 St & 10 Ave,49,-74.005141,40.745686,931,0.38333333333333336,575.0476666666667,Highest
7253.04,Central Park West & W 76 St,39,-73.97374737,40.77896784,416,0.3,291.616,Medium
7643.18,Adam Clayton Powell Blvd & W 115 St,22,-73.9532423,40.802535,108,0.15833333333333333,91.008,Lowest
6795.01,W 46 St & 11 Ave,25,-73.99667444,40.76341379,441,0.18333333333333332,360.591,Medium
6876.04,Central Park S & 6 Ave,73,-73.97634151,40.76590936,882,0.5833333333333334,368.38199999999995,Medium
7636.05,E 123 St & Lexington Ave,27,-73.9379,40.8029263,57,0.2,45.657000000000004,Lowest
7959.18,Hamilton Pl & W 140 St,21,-73.951346,40.822756,32,0.15,27.232,Lowest
6602.03,W 41 St & 8 Ave,105,-73.9900262,40.75640548,941,0.85,142.091,Low
7893.05,Adam Clayton Powell Blvd & W 141 St,24,-73.941057,40.819241,49,0.175,40.474,Lowest
5905.14,University Pl & E 14 St,61,-73.992085,40.734814,1019,0.48333333333333334,527.5023333333332,Highest
6723.1,E 58 St & 1 Ave (NW Corner),50,-73.962658,40.759125,243,0.39166666666666666,148.068,Low
7680.03,Cathedral Pkwy & Broadway,25,-73.96699104,40.804213,293,0.18333333333333332,239.57633333333334,Low
8469.05,Audubon Ave & W 192 St,21,-73.92708241939545,40.85589030603889,4,0.15,3.404,Lowest
7937.15,St Nicholas Terrace & Convent Ave,24,-73.947868,40.821294,30,0.175,24.779999999999998,Lowest
5430.08,Franklin St & W Broadway,33,-74.00666661,40.71911552,215,0.25,161.465,Low
5506.1,Ave D & E 8 St,30,-73.97574813,40.72368361,205,0.225,159.08,Low
6115.06,Hudson St & W 13 St,42,-74.0052741765976,40.74005708567285,531,0.325,358.956,Medium
7855.03,Adam Clayton Powell Blvd & W 138 St,23,-73.9422959089279,40.81695971032464,105,0.16666666666666666,87.605,Lowest
7344.01,E 94 St & Madison Ave,43,-73.95482444378061,40.78585105291389,145,0.3333333333333333,96.81166666666668,Lowest
8416.07,Broadway & W 185 St,21,-73.93441,40.852538,25,0.15,21.275,Lowest
8665.02,Seaman Ave & Isham St,23,-73.92076313495636,40.86989866194045,0,0.16666666666666666,0.0,Lowest
5847.06,W 10 St & Washington St,68,-74.00851495563984,40.73342399437081,406,0.5416666666666666,186.48933333333335,Low
6072.06,Greenwich Ave & 8 Ave,75,-74.0026376103,40.7390169121,887,0.6,355.687,Medium
6551.02,W 44 St & 5 Ave,68,-73.98014437,40.75500254,351,0.5416666666666666,161.226,Low
6173.08,Broadway & W 25 St,109,-73.98918628692627,40.74286877312112,967,0.8833333333333333,113.78366666666669,Low
8336.02,Wadsworth Ave & W 179 St,35,-73.936064,40.848467,43,0.26666666666666666,31.576333333333334,Lowest
4962.01,Broadway & Battery Pl,52,-74.01361706,40.70463334,241,0.4083333333333333,142.83266666666668,Low
7611.02,E 118 St & 3 Ave,31,-73.9389152,40.799139,106,0.23333333333333334,81.37266666666666,Lowest
7212.05,E 85 St & 3 Ave,39,-73.95407149,40.77801203,518,0.3,363.118,Medium
6131.13,E 27 St & Park Ave S,69,-73.9847157150507,40.74275179648995,469,0.55,211.51899999999998,Low
5626.15,1 Ave & E 6 St,94,-73.98616880178452,40.72633085971696,666,0.7583333333333333,161.616,Low
7713.11,W 116 St & Broadway,43,-73.9641,40.8082,284,0.3333333333333333,189.61733333333336,Low
7382.04,W 84 St & Columbus Ave,35,-73.97283406,40.78499979,308,0.26666666666666666,226.1746666666667,Low
5636.13,E 1 St & Bowery,44,-73.99213135242462,40.72486122254819,416,0.3416666666666667,274.28266666666667,Medium
6847.05,7 Ave & W 55 St,67,-73.980973,40.764126,366,0.5333333333333333,171.166,Low
5669.1,St Marks Pl & 2 Ave,73,-73.98713956,40.7284186,539,0.5833333333333334,225.1223333333333,Low
6932.15,E 68 St & Madison Ave,58,-73.96703464,40.7691572,195,0.4583333333333333,105.82000000000002,Low
7753.13,Lenox Ave & W 130 St,25,-73.9430681,40.8107922,109,0.18333333333333332,89.12566666666666,Lowest
6339.06,W 25 St & 9 Ave,68,-74.0005722643582,40.74783260583772,0,0.5416666666666666,0.0,Lowest
8226.06,Broadway & W 168 St,31,-73.93972098827362,40.84089603193041,69,0.23333333333333334,52.968999999999994,Lowest
6004.06,E 27 St & 1 Ave,87,-73.976806,40.739445,565,0.7,170.06500000000003,Low
5359.1,Hudson St & Reade St,55,-74.0091059,40.71625008,329,0.43333333333333335,186.76233333333332,Low
5532.01,Mercer St & Spring St,67,-73.99949601,40.72362738,331,0.5333333333333333,154.79766666666666,Low
7618.01,Bronx Shore Comfort Station,25,-73.92404,40.80046,27,0.18333333333333332,22.076999999999998,Lowest
6617.09,E 53 St & Lexington Ave,57,-73.97069431,40.75828065,405,0.45,223.15500000000003,Low
6816.07,8 Ave & W 52 St,31,-73.9851615,40.76370739,508,0.23333333333333334,389.9746666666666,Medium
5838.09,Washington Pl & 6 Ave,76,-74.00026394,40.73224119,558,0.6083333333333333,219.10800000000003,Low
6644.08,9 Ave & W 39 St,36,-73.99410143494606,40.756403523272496,598,0.275,434.14799999999997,Highest
5270.09,Market St & Henry St,42,-73.99446353316307,40.71310702305908,424,0.325,286.624,Medium
6676.02,W 45 St & 8 Ave,65,-73.98859651,40.75929124,627,0.5166666666666667,303.67699999999996,Medium
7453.01,Central Park W & W 91 St,48,-73.96680057048798,40.78866499127883,0,0.375,0.0,Lowest
5914.03,W 11 St & 6 Ave,79,-73.99800419,40.73532427,459,0.6333333333333333,168.75900000000001,Low
5422.09,Lafayette St & Grand St,78,-73.99879,40.72028,413,0.625,155.288,Low
7903.02,Broadway & W 133 St,21,-73.95615599999998,40.8190344,77,0.15,65.527,Lowest
7488.24,E 102 St & Park Ave,33,-73.95033068,40.7904828,101,0.25,75.851,Lowest
7563.06,E 116 St & 2 Ave,31,-73.937261,40.796879,67,0.23333333333333334,51.43366666666666,Lowest
7161.08,5 Ave & E 78 St,47,-73.96427392959595,40.77632142182271,506,0.36666666666666664,320.97266666666667,Medium
5886.13,E 20 St & FDR Dr,75,-73.9756813647,40.733208626522426,612,0.6,245.412,Medium
6560.14,W 40 St & 7 Ave,45,-73.988154,40.754818,42,0.35,27.342000000000002,Lowest
6830.02,E 63 St & 3 Ave,57,-73.9646,40.763954,288,0.45,158.68800000000002,Low
5001.08,Little West St & 1 Pl,35,-74.01677685,40.70569254,568,0.26666666666666666,417.10133333333334,Highest
6450.05,8 Ave & W 31 St,97,-73.9946848154068,40.7505853470215,969,0.7833333333333333,210.919,Low
5746.14,E 11 St & 1 Ave,61,-73.98426726,40.72953837,583,0.48333333333333334,301.7996666666666,Medium
6593.14,W 43 St & 6 Ave,63,-73.98316936,40.75527307,280,0.5,140.28,Low
6064.08,W 18 St & 6 Ave,69,-73.99456405,40.73971301,701,0.55,316.15099999999995,Medium
5175.08,Fulton St & Broadway,49,-74.009447,40.711066,435,0.38333333333333336,268.685,Medium
8013.07,St Nicholas Ave & W 150 St,26,-73.942722,40.827212,46,0.19166666666666668,37.22933333333334,Lowest
6425.04,11 Ave & W 27 St,45,-74.005226,40.751396,669,0.35,435.519,Highest
5270.05,Pike St & E Broadway,34,-73.99293911,40.71406667,359,0.25833333333333336,266.61733333333336,Medium
6230.04,FDR Drive & E 35 St,123,-73.97121214,40.744219,522,1.0,0.522,Lowest
5779.11,Ave A & E 14 St,41,-73.98047178983688,40.73031071000895,1141,0.31666666666666665,780.8243333333334,Highest
8018.04,Riverside Dr & W 145 St,35,-73.951989,40.827305,44,0.26666666666666666,32.31066666666667,Lowest
5500.07,6 Ave & Canal St,73,-74.00566443,40.72243797,261,0.5833333333333334,109.011,Low
6098.1,Broadway & E 21 St,54,-73.98958593606949,40.73988840858996,0,0.425,0.0,Lowest
6747.06,W 49 St & 8 Ave,67,-73.98788205,40.76227205,411,0.5333333333333333,192.211,Low
6541.03,E 48 St & 3 Ave,78,-73.971878855,40.7546011026,344,0.625,129.344,Low
7997.08,W 145 St & Amsterdam Ave,24,-73.947257,40.825244,42,0.175,34.692,Lowest
